2021-03-24 12:25:12.051365{'uuid': 'fd6930be-2196-4a7e-ac6e-7444274c00bc', 'side': 'bid', 'ord_type': 'limit', 'price': '613.0', 'state': 'wait', 'market': 'KRW-CVC', 'created_at': '2021-03-24T21:25:12+09:00', 'volume': '16.3132137', 'remaining_volume': '16.3132137', 'reserved_fee': '4.99999999905', 'remaining_fee': '4.99999999905', 'paid_fee': '0.0', 'locked': '10004.99999809905', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 12:29:30.160975{'uuid': 'ccc76645-bfec-407f-8313-da09b48f30c9', 'side': 'bid', 'ord_type': 'limit', 'price': '73.2', 'state': 'wait', 'market': 'KRW-STMX', 'created_at': '2021-03-24T21:29:30+09:00', 'volume': '136.98630136', 'remaining_volume': '136.98630136', 'reserved_fee': '5.013698629776', 'remaining_fee': '5.013698629776', 'paid_fee': '0.0', 'locked': '10032.410958181776', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 13:48:59.759637{'uuid': '4284ae70-03b0-4e60-8114-0d34da26780a', 'side': 'bid', 'ord_type': 'limit', 'price': '267.0', 'state': 'wait', 'market': 'KRW-CRO', 'created_at': '2021-03-24T22:48:59+09:00', 'volume': '37.45318352', 'remaining_volume': '37.45318352', 'reserved_fee': '4.99999999992', 'remaining_fee': '4.99999999992', 'paid_fee': '0.0', 'locked': '10004.99999983992', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 14:05:35.057905{'uuid': '2cb8cce2-dee9-4a3c-8f74-aee9fec4c7d3', 'side': 'bid', 'ord_type': 'limit', 'price': '15200.0', 'state': 'wait', 'market': 'KRW-WAVES', 'created_at': '2021-03-24T23:05:35+09:00', 'volume': '0.65789473', 'remaining_volume': '0.65789473', 'reserved_fee': '4.999999948', 'remaining_fee': '4.999999948', 'paid_fee': '0.0', 'locked': '10004.999895948', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 14:26:18.173802{'uuid': '8144ebe9-8246-493d-9cc8-8ae3ac72c399', 'side': 'bid', 'ord_type': 'limit', 'price': '5145.0', 'state': 'wait', 'market': 'KRW-EOS', 'created_at': '2021-03-24T23:26:18+09:00', 'volume': '1.94363459', 'remaining_volume': '1.94363459', 'reserved_fee': '4.999999982775', 'remaining_fee': '4.999999982775', 'paid_fee': '0.0', 'locked': '10004.999965532775', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 14:29:10.888537{'uuid': '6a9fadaa-a52b-4a73-99b6-b27ea01bf7e6', 'side': 'bid', 'ord_type': 'limit', 'price': '73.8', 'state': 'wait', 'market': 'KRW-TRX', 'created_at': '2021-03-24T23:29:10+09:00', 'volume': '136.98630136', 'remaining_volume': '136.98630136', 'reserved_fee': '5.054794520184', 'remaining_fee': '5.054794520184', 'paid_fee': '0.0', 'locked': '10114.643834888184', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 14:50:48.938689{'uuid': '06a2cccf-c2fa-421e-99c1-8b614961e0c5', 'side': 'bid', 'ord_type': 'limit', 'price': '61.1', 'state': 'wait', 'market': 'KRW-IOST', 'created_at': '2021-03-24T23:50:48+09:00', 'volume': '163.93442622', 'remaining_volume': '163.93442622', 'reserved_fee': '5.008196721021', 'remaining_fee': '5.008196721021', 'paid_fee': '0.0', 'locked': '10021.401638763021', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 16:33:18.748042{'uuid': '231681d9-a13f-4d9c-9ecc-51f4bdba38ba', 'side': 'bid', 'ord_type': 'limit', 'price': '212.0', 'state': 'wait', 'market': 'KRW-ZIL', 'created_at': '2021-03-25T01:33:18+09:00', 'volume': '47.16981132', 'remaining_volume': '47.16981132', 'reserved_fee': '4.99999999992', 'remaining_fee': '4.99999999992', 'paid_fee': '0.0', 'locked': '10004.99999983992', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 17:13:25.906606{'uuid': '02d2d1b4-b215-47a2-8e63-ce9ca1bc3981', 'side': 'bid', 'ord_type': 'limit', 'price': '655.0', 'state': 'wait', 'market': 'KRW-CHZ', 'created_at': '2021-03-25T02:13:25+09:00', 'volume': '15.26717557', 'remaining_volume': '15.26717557', 'reserved_fee': '4.999999999175', 'remaining_fee': '4.999999999175', 'paid_fee': '0.0', 'locked': '10004.999998349175', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 19:06:42.775273{'uuid': '1f57f547-8e87-4b5c-bbf2-28f8e21e489f', 'side': 'bid', 'ord_type': 'limit', 'price': '104.0', 'state': 'wait', 'market': 'KRW-QTCON', 'created_at': '2021-03-25T04:06:42+09:00', 'volume': '96.15384615', 'remaining_volume': '96.15384615', 'reserved_fee': '4.9999999998', 'remaining_fee': '4.9999999998', 'paid_fee': '0.0', 'locked': '10004.9999995998', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 19:06:45.054906{'uuid': '5a88ad9b-3566-4087-82a6-536ba7757caa', 'side': 'bid', 'ord_type': 'limit', 'price': '148.0', 'state': 'wait', 'market': 'KRW-SNT', 'created_at': '2021-03-25T04:06:45+09:00', 'volume': '67.56756756', 'remaining_volume': '67.56756756', 'reserved_fee': '4.99999999944', 'remaining_fee': '4.99999999944', 'paid_fee': '0.0', 'locked': '10004.99999887944', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 19:14:13.948155{'uuid': 'c0719580-0d32-46e7-ad68-5412773739cc', 'side': 'bid', 'ord_type': 'limit', 'price': '358.0', 'state': 'wait', 'market': 'KRW-EMC2', 'created_at': '2021-03-25T04:14:13+09:00', 'volume': '27.93296089', 'remaining_volume': '27.93296089', 'reserved_fee': '4.99999999931', 'remaining_fee': '4.99999999931', 'paid_fee': '0.0', 'locked': '10004.99999861931', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 19:36:28.547755{'uuid': '43a3ce9b-5e76-40f9-9b2b-6ca6fc6c338e', 'side': 'bid', 'ord_type': 'limit', 'price': '397.0', 'state': 'wait', 'market': 'KRW-HBAR', 'created_at': '2021-03-25T04:36:28+09:00', 'volume': '25.18891687', 'remaining_volume': '25.18891687', 'reserved_fee': '4.999999998695', 'remaining_fee': '4.999999998695', 'paid_fee': '0.0', 'locked': '10004.999997388695', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 20:04:13.304279{'uuid': '55e0d4e5-db3d-4571-bbbd-64dd528d1149', 'side': 'bid', 'ord_type': 'limit', 'price': '62.7', 'state': 'wait', 'market': 'KRW-MVL', 'created_at': '2021-03-25T05:04:13+09:00', 'volume': '161.29032258', 'remaining_volume': '161.29032258', 'reserved_fee': '5.056451612883', 'remaining_fee': '5.056451612883', 'paid_fee': '0.0', 'locked': '10117.959677378883', 'executed_volume': '0.0', 'trades_count': 0}
